person_name,title,organization,role_type,event_name,segment,email,phone,linkedin_url,facebook_url,instagram_url,website,source,confidence,evidence,next_action
Adam Stoler,Founder & CEO,Aligned Solutions LLC,speaker,Behavioral Health Tech 2026,,,,,,,,https://www.behavioralhealthtech.com/2026/speakers,confirmed,Listed on https://www.behavioralhealthtech.com/2026/speakers,find-linkedin-manually
"Amber Childs, PhD","Associate Professor, Psychiatry & Expert Consultant",Yale University School of Medicine & BHT Impact,speaker,Behavioral Health Tech 2026,,,,,,,,https://www.behavioralhealthtech.com/2026/speakers,confirmed,Listed on https://www.behavioralhealthtech.com/2026/speakers,find-linkedin-manually
Alex Nana-Sinkam,Senior Design Director,IDEO.org,speaker,Behavioral Health Tech 2026,,,,,,,,https://www.behavioralhealthtech.com/2026/speakers,confirmed,Listed on https://www.behavioralhealthtech.com/2026/speakers,find-linkedin-manually
"Andrew Chang, MD",Founder & CEO,Nunchi Health,speaker,Behavioral Health Tech 2026,,,,,,,,https://www.behavioralhealthtech.com/2026/speakers,confirmed,Listed on https://www.behavioralhealthtech.com/2026/speakers,find-linkedin-manually
Alicia Ead,Supervisor of School-based Services,The Bradley Learning Exchange,speaker,Behavioral Health Tech 2026,,,,,,,,https://www.behavioralhealthtech.com/2026/speakers,confirmed,Listed on https://www.behavioralhealthtech.com/2026/speakers,find-linkedin-manually
Amanda Beausoleil,Founder & Executive Director,Self-Injury Recovery & Awareness (SIRA),speaker,Behavioral Health Tech 2026,,,,,,,,https://www.behavioralhealthtech.com/2026/speakers,confirmed,Listed on https://www.behavioralhealthtech.com/2026/speakers,find-linkedin-manually
"Andrey Ostrovsky, MD, FAAP",Managing Partner & Former Chief Medical Officer of US Medicaid Program,Social Innovation Ventures,speaker,Behavioral Health Tech 2026,,,,https://www.linkedin.com/in/andreyostrovskymd,,,,https://www.behavioralhealthtech.com/2026/speakers,confirmed,"Listed on https://www.behavioralhealthtech.com/2026/speakers | LinkedIn matched, surname verified in slug",outreach
Anjlee Joshi,"Program Director / Lead, Impact Investor",BHT Impact & National Council,speaker,Behavioral Health Tech 2026,,,,,,,,https://www.behavioralhealthtech.com/2026/speakers,confirmed,Listed on https://www.behavioralhealthtech.com/2026/speakers,find-linkedin-manually
"Anitha Iyer, PhD, MPH","Director, Behavioral Health Population Management",Mount Sinai Health Partners,speaker,Behavioral Health Tech 2026,,,,https://www.linkedin.com/in/anithaiyerphd,,,,https://www.behavioralhealthtech.com/2026/speakers,confirmed,"Listed on https://www.behavioralhealthtech.com/2026/speakers | LinkedIn matched, surname verified in slug",outreach
Andy Valle,"Youth-Adult Partnership Committee, Youth Committee Member",New Mexico Department of Health,speaker,Behavioral Health Tech 2026,,,,,,,,https://www.behavioralhealthtech.com/2026/speakers,confirmed,Listed on https://www.behavioralhealthtech.com/2026/speakers,find-linkedin-manually
"A. Polly Jessen, RPRS-CS, CPRS",Director of Peer Initiatives,Fairview Housing Management Corporation,speaker,Behavioral Health Tech 2026,,,,,,,,https://www.behavioralhealthtech.com/2026/speakers,confirmed,Listed on https://www.behavioralhealthtech.com/2026/speakers,find-linkedin-manually
Ashley Hudson-Johnson,Associate Director of Policy & Access,"Otsuka Precision Health, Inc.",speaker,Behavioral Health Tech 2026,,,,,,,,https://www.behavioralhealthtech.com/2026/speakers,confirmed,Listed on https://www.behavioralhealthtech.com/2026/speakers,find-linkedin-manually
